TIME_PERIOD,REF_AREA,High_Pay,Low_Pay
2003,CZE,,19.0362273006795
2003,DEU,15.9437013135814,17.309779571646
2003,DNK,2.03382059666498,7.46181612589425
2003,FIN,15.8652994830406,6.41170216655543
2003,GBR,,20.8157068793424
2003,HUN,,22.69
2003,ISR,28.2422778265056,23.2518845415458
2003,JPN,,14.4352889766612
2003,KOR,,24.2668327390644
2003,NZL,,13.2223600967587
2003,OECD,22.7113967082335,16.1859169960162
2003,SVK,,18
2003,USA,,23.2684964557391
2004,AUS,,15.4543009896955
2004,AUT,19.6780539285953,15.1530881469905
2004,BEL,12.6974605078984,6.29874025194961
2004,CAN,20.7262585522156,22.4001299715378
2004,CZE,,19.6798782864496
2004,DEU,17.0158451102033,17.5733649730773
2004,DNK,2.08722646134448,6.67957688875175
2004,FIN,15.3026000838943,6.95710634285442
2004,GBR,,20.9662878624502
2004,HUN,,22.95
2004,ISR,27.9267101911525,23.1963942374511
2004,JPN,,14.2989622941202
2004,KOR,,24.201840986593
2004,NZL,,13.1620069893098
2004,OECD,22.6191347748816,16.0122009503377
2004,POL,,22.2
2004,SVK,,18.001800180018
2004,USA,,23.8515796336909
2005,AUS,,15.8155971338919
2005,AUT,20.0000201017349,15.2759616418695
2005,BEL,13.3986601339866,6.6993300669933
2005,CAN,20.5459998354381,21.3412406984552
2005,CZE,,20.0310956263525
2005,DEU,16.281740916805,17.3687259215329
2005,DNK,2.55248799250719,6.4025518213725
2005,FIN,16.2953532781668,6.91340131252389
2005,GBR,,20.9756890539752
2005,HUN,,23.09
2005,ISR,27.9294444184166,22.9816973824408
2005,JPN,,16.0979625437333
2005,KOR,,25.3705285650176
2005,MEX,20.0663319126229,17.9151520902873
2005,NZL,,12.4392987187495
2005,OECD,22.5686058295042,16.1343957215261
2005,SVK,,18
2005,USA,,23.9643884822618
2006,AUS,,15.1551832124049
2006,AUT,20.2032311752137,15.789915057348
2006,BEL,12.7987201279872,6.2993700629937
2006,CAN,21.5631143352333,22.5012407222861
2006,CHL,27.5254731787477,13.0152568473774
2006,CZE,,19.7384172731667
2006,DEU,17.9755659724432,18.2359837686858
2006,DNK,2.51768028024696,7.57261291359087
2006,ESP,24.9991892622286,10.1111111111111
2006,EST,24.9998860204023,20.7916666666666
2006,FIN,16.0653451034762,7.4813619093954
2006,FRA,19.9999824952956,6.46913580246913
2006,GBR,,20.7472920258531
2006,GRC,20.9997012547301,15.7777777777777
2006,HUN,,23.11
2006,IRL,25.9989253842919,18.094017094017
2006,ISL,26.9998944001931,7.33333333333333
2006,ISR,28.4971218077208,22.4990480524466
2006,ITA,18.9989629117487,8.18055555555555
2006,JPN,,16.0676552380493
2006,KOR,,24.9358321890514
2006,LTU,28.9994094488188,25.9047619047619
2006,LUX,21.9998958929779,14.4861111111111
2006,LVA,28.999959853868,30.047619047619
2006,MEX,23.0630370588403,16.3085483151188
2006,NLD,22.9999621730548,9.30392156862744
2006,NZL,,14.6122360539735
2006,OECD,22.7044913377334,16.286228597155
2006,POL,,23.4513459579397
2006,PRT,28.9997943074589,20.7142857142857
2006,SVK,,17.996400719856
2006,SVN,23.9990260713215,19.9666666666666
2006,TUR,32.9994222515681,0.52487562189054
2006,USA,,24.2220044106837
2007,AUS,,15.9726494362297
2007,AUT,20.3799333095786,16.1934824786558
2007,BEL,11.4011401140114,5.6005600560056
2007,CAN,22.3066484364668,22.0087817062064
2007,COL,28.7989212244396,18.577011815605
2007,CZE,,19.6564655661961
2007,DEU,16.608397795376,17.7213154309792
2007,DNK,2.51716954950131,7.83927659106981
2007,FIN,16.7871535104863,7.90949645911956
2007,GBR,,20.5469893494648
2007,HUN,,21.16
2007,ISR,28.6886276671063,22.2699906821873
2007,JPN,,15.4230477885897
2007,KOR,,26.0421317325134
2007,MEX,18.9875788374064,19.0823277877801
2007,NZL,,13.4409200805122
2007,OECD,22.7455393356959,16.135851374801
2007,SVK,,18
2007,USA,,24.5351220421092
2008,AUS,,17.5107095317818
2008,AUT,20.455820742326,15.8655557860972
2008,BEL,11.1996640100797,3.99988000359989
2008,CAN,21.4859287944327,22.1184321748919
2008,CHE,,12.95
2008,COL,28.1964609927652,16.2783607756016
2008,CZE,,19.7032947461146
2008,DEU,17.2444952014541,17.290333938249
2008,DNK,2.52737418873399,7.88824572304625
2008,FIN,16.5132748927306,8.47315837603835
2008,GBR,,21.1977191409735
2008,HUN,,20.79
2008,ISR,28.1377631624332,21.3607022274044
2008,JPN,,15.0202243462162
2008,KOR,,25.4708365561137
2008,MEX,21.1246733403898,18.1112944989625
2008,NZL,,12.5341807689995
2008,OECD,22.7652070134978,15.7047152988484
2008,POL,,22.9647146679943
2008,SVK,,19.001900190019
2008,USA,,24.5135821917166
2009,AUS,,14.5199094102225
2009,AUT,20.7936255384528,16.0218084986964
2009,BEL,11.7,3.7
2009,CAN,22.1300558192506,20.6307930173176
2009,CHL,28.692188677591,9.6937591498398
2009,COL,27.3610103794033,15.5223936696333
2009,CZE,,20.042805677142
2009,DEU,16.9111820148516,19.0390593855356
2009,DNK,2.39190626905802,7.27732446593039
2009,FIN,16.6847089044424,8.48211949443856
2009,GBR,,20.6149211341147
2009,HUN,,21.79
2009,ISR,28.1650193339671,22.1522902551404
2009,JPN,,14.6503614991195
2009,KOR,,24.9913555727741
2009,MEX,22.0582499438485,16.9095232308142
2009,NZL,,12.8732435888459
2009,OECD,22.8291330679231,15.4327007599993
2009,SVK,,19.99600079984
2009,USA,,24.8424806418976
2010,AUS,,15.9802656198485
2010,AUT,20.7341335374644,16.4701128031366
2010,BEL,13.1,4.3
2010,CAN,21.4166557885355,21.2076834099696
2010,CHE,,13.06
2010,COL,28.1113819858008,14.6961879462208
2010,CRI,18.7948500887357,17.9583753154952
2010,CZE,,20.1832924309899
2010,DEU,17.1857078733881,18.9309608698091
2010,DNK,2.69364937099821,7.57778967074395
2010,ESP,24.9998798437969,10.6111111111111
2010,EST,24.9994049783478,21.4444444444444
2010,FIN,17.1581692562012,8.12301878027834
2010,FRA,21.9999380734965,5.79166666666666
2010,GBR,,20.6698710225139
2010,GRC,18.9989990335496,12.547619047619
2010,HUN,,21
2010,IRL,23.999726032486,17.7154471544715
2010,ISL,21.999874520489,6.45098039215686
2010,ISR,28.5174898305418,21.4333684213483
2010,ITA,17.9996978330311,8.14492753623188
2010,JPN,,14.4807769062202
2010,KOR,,24.7094797778286
2010,LTU,28.9991945786813,23.9333333333333
2010,LUX,22.998773621718,14.679012345679
2010,LVA,32,22
2010,MEX,21.6840210905773,19.1228583624143
2010,NLD,24.9996839665706,7.84722222222222
2010,NZL,,12.7218537345488
2010,OECD,22.7405705976019,15.4350452280118
2010,POL,,22.6906750478957
2010,PRT,31.999908362687,15.8888888888888
2010,SVK,,20.00200020002
2010,SVN,22.9999626837823,17.7692307692307
2010,TUR,31.9998634273661,0.69348659003831
2010,USA,,25.2911211807614
2011,AUS,,16.8549551513812
2011,AUT,20.7264482690341,16.0763005791486
2011,BEL,13.8,5.4
2011,CAN,22.2926488279651,21.5951235887348
2011,CHL,27.5656892066204,9.37798756260784
2011,COL,27.4245298854115,15.943716415863
2011,CRI,20.3580474833277,15.5129325209459
2011,CZE,,20.1530632397961
2011,DEU,18.7883136699658,18.9015692074557
2011,DNK,2.8066484985545,7.49137798746154
2011,FIN,16.8961883422277,9.27104253736019
2011,GBR,,20.560211227184
2011,HUN,,19.99
2011,ISR,27.4849707395893,22.4543809087486
2011,JPN,,14.4031779286605
2011,KOR,,23.798238210863
2011,MEX,19.260255097024,17.6679961788193
2011,NZL,,13.6934746186501
2011,OECD,22.6856823806796,15.3123441291445
2011,SVK,,20.0000000000006
2011,USA,,25.1478229707938
2012,AUS,,17.5887595810257
2012,AUT,20.8531018048676,16.0727266833728
2012,BEL,13.4,6
2012,CAN,22.0635419954674,21.8497443195449
2012,CHE,,12.08
2012,COL,26.6356790278666,14.988499466862
2012,CRI,19.0632127555262,15.6423859058257
2012,CZE,,19.7500015800001
2012,DEU,18.3624547115868,19.1009332196592
2012,DNK,2.85454951903688,7.57251517367582
2012,FIN,16.3697150572017,8.91338023164926
2012,GBR,,20.4503464203233
